file_name,label
test_images/4519.jpg,bluetick
test_images/5197.jpg,"Pekinese, Pekingese, Peke"
test_images/1538.jpg,"affenpinscher, monkey pinscher, monkey dog"
test_images/2442.jpg,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
test_images/197.jpg,curly-coated retriever
test_images/4090.jpg,"grey fox, gray fox, Urocyon cinereoargenteus"
test_images/4636.jpg,"Newfoundland, Newfoundland dog"
test_images/3152.jpg,bull mastiff
test_images/3192.jpg,"Afghan hound, Afghan"
test_images/5347.jpg,"Afghan hound, Afghan"
test_images/1199.jpg,"Cardigan, Cardigan Welsh corgi"
test_images/182.jpg,standard schnauzer
test_images/548.jpg,"dingo, warrigal, warragal, Canis dingo"
test_images/4581.jpg,Irish water spaniel
test_images/5587.jpg,Shih-Tzu
test_images/1165.jpg,"teddy, teddy bear"
test_images/284.jpg,Italian greyhound
test_images/3891.jpg,"Eskimo dog, husky"
test_images/4158.jpg,badger
test_images/1012.jpg,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
test_images/4858.jpg,"bloodhound, sleuthhound"
test_images/1035.jpg,Great Dane
test_images/5028.jpg,Chihuahua
test_images/5343.jpg,English setter
test_images/5511.jpg,groenendael
test_images/3645.jpg,West Highland white terrier
test_images/3644.jpg,"German shepherd, German shepherd dog, German police dog, alsatian"
test_images/5433.jpg,Great Dane
test_images/1949.jpg,"clumber, clumber spaniel"
test_images/5036.jpg,"Old English sheepdog, bobtail"
test_images/5470.jpg,Weimaraner
test_images/44.jpg,"dhole, Cuon alpinus"
test_images/1699.jpg,Weimaraner
test_images/4241.jpg,"Lhasa, Lhasa apso"
test_images/5090.jpg,Great Pyrenees
test_images/4448.jpg,Bedlington terrier
test_images/1867.jpg,"Maltese dog, Maltese terrier, Maltese"
test_images/1025.jpg,Border collie
test_images/3868.jpg,Lakeland terrier
test_images/3023.jpg,Greater Swiss Mountain dog
test_images/1127.jpg,spatula
test_images/1581.jpg,schipperke
test_images/5554.jpg,French bulldog
test_images/4330.jpg,"Irish setter, red setter"
test_images/31.jpg,kelpie
test_images/5798.jpg,Weimaraner
test_images/4757.jpg,collie
test_images/2358.jpg,basenji
test_images/5854.jpg,"Cardigan, Cardigan Welsh corgi"
test_images/1940.jpg,whippet
